date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:55	93674/93674	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2012:38:54%20GMT	https://travl.dexignlab.com/xhtml/room-list.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/room-list.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:55	1127097/1127097	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Dec%202021%2013:48:48%20GMT	https://travl.dexignlab.com/xhtml/css/style.css	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/css/style.css	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:55	87731/87731	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2016:55:58%20GMT	https://travl.dexignlab.com/xhtml/concierge-list.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/concierge-list.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:56	76237/76237	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2017:52:10%20GMT	https://travl.dexignlab.com/xhtml/reviews.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/reviews.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:56	66353/66353	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/post-details.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/post-details.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:56	61032/61032	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/email-compose.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/email-compose.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:56	64683/64683	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/email-read.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/email-read.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:56	58928/58928	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/app-calender.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/app-calender.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:57	63901/63901	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ecom-product-grid.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ecom-product-grid.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:57	70895/70895	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ecom-product-list.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ecom-product-list.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
